id;garde;sup6;sup8;sup75;col66;col55;col27;col64;sup71;col31;col38;sup47;sup51;sup29;col60;sup69;sup45;sup10;sup19;sup39;sup31;sup66;col6;sup37;col48;col12;col14;col34;col69;col16;col44;col33;col58;sup46;col73;sup11;sup52;sup14;col61;sup59;sup1;col3;col18;sup34;col20;col40;sup25;sup62;sup72;col41;col43;sup23;col8;sup12;col72;sup49;sup77;sup78;sup55;sup20;sup13;sup22;sup33;col63;sup44;col35;sup54;col7;sup74;sup17;sup35;sup50;sup18;col26;col70;col22;sup61;col1;sup73;sup76;sup63;sup15;col49;col68;col67;sup36;col5;col56;col4;sup56;sup70;sup43;sup48;col19;sup21;col59;col52;col36;col53;sup32;sup24;sup64;col82;sup9;sup41;sup57;col30;col76;sup83;col75;col80;col21;col51;sup53;col78;col24;sup58;col77;col47;col42;col74;sup40;col54;col11;col45;sup38;col32;sup26;sup30;col50;col15;col17;sup16;sup60;col37;sup68;col28;sup2;sup28;sup27;col23;col9;sup5;col57;sup3;col65;sup81;sup67;sup4;col71;sup7;col39;col25;col13;col81;sup65;sup42;sup79;col83;col79;col10;sup80;col46;col62;col2;col29;sup82
6;Oui;NA;NA;NA;NA;8;NA;8;NA;NA;8;NA;NA;8;.;NA;8;NA;NA;8;NA;NA;NA;8;NA;8;NA;8;NA;8;8;NA;8;NA;NA;8;NA;NA;NA;b;8;8;8;8;8;8;NA;8;NA;8;8;NA;NA;8;NA;NA;NA;NA;8;8;8;8;NA;8;8;8;Y;NA;NA;8;8;NA;8;NA;NA;8;NA;8;NA;NA;8;NA;NA;NA;NA;8;NA;8;NA;8;NA;8;NA;NA;8;b;NA;8;NA;NA;NA;8;NA;NA;8;8;8;NA;NA;NA;NA;8;NA;NA;NA;NA;8;NA;NA;NA;NA;8;Y;8;8;8;NA;NA;8;NA;NA;8;8;.;8;NA;8;8;8;NA;NA;NA;NA;8;8;NA;NA;NA;NA;NA;NA;8;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;8;NA
2;Oui;NA;8;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;8;NA;NA;8;b;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;NA;NA;NA;8;NA;NA;8;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;Y;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;8;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;8;8;8;NA;NA;8;NA;NA;8;NA;NA;NA;NA;NA;Y;NA;NA;NA;NA;NA;NA;NA;NA;NA;b;NA;NA;8;8;8;NA
16;Non;NA;NA;NA;8;8;NA;Y;NA;8;8;8;8;NA;NA;NA;8;NA;NA;8;8;8;NA;8;8;NA;8;NA;NA;P;8;8;8;8;NA;NA;8;8;NA;P;8;8;NA;NA;8;8;NA;NA;NA;NA;8;NA;NA;NA;NA;8;NA;NA;8;8;Y;8;8;NA;8;NA;8;NA;NA;NA;NA;8;NA;NA;NA;8;NA;8;NA;NA;NA;8;8;NA;8;Y;NA;8;NA;8;NA;8;8;NA;8;P;8;Y;NA;8;NA;Y;NA;NA;NA;8;Y;NA;NA;NA;NA;8;8;NA;NA;NA;8;NA;8;NA;NA;8;8;NA;8;8;8;NA;Y;8;8;NA;P;NA;8;NA;NA;8;NA;NA;NA;NA;NA;8;8;8;NA;8;NA;NA;NA;8;NA;Y;NA;8;NA;NA;NA;NA;NA;NA;8;NA;8;NA;NA
12;Non;NA;8;NA;8;8;NA;8;NA;8;8;8;NA;8;NA;NA;8;P;NA;b;8;8;NA;8;8;.;8;NA;NA;b;8;8;8;8;NA;NA;NA;8;NA;b;8;8;NA;NA;8;.;8;8;NA;NA;8;d;8;.;NA;8;NA;NA;8;8;d;8;8;8;8;.;d;d;NA;.;.;NA;NA;8;NA;8;NA;8;NA;NA;8;8;8;NA;8;d;NA;8;NA;8;NA;8;8;NA;8;b;NA;d;.;8;8;8;NA;8;NA;8;8;NA;NA;NA;NA;8;NA;.;NA;8;8;NA;8;NA;NA;.;d;NA;8;8;8;8;8;NA;8;.;b;NA;8;NA;8;8;8;NA;d;8;NA;8;8;8;NA;8;NA;NA;d;b;8;d;NA;8;NA;NA;NA;NA;P;NA;8;8;8;8;NA
14;Non;NA;NA;NA;NA;8;NA;8;NA;NA;8;NA;NA;8;.;NA;8;NA;NA;8;NA;NA;NA;8;NA;8;NA;8;NA;8;8;NA;8;NA;NA;8;NA;NA;NA;b;8;8;8;8;8;8;NA;8;NA;8;8;NA;NA;8;NA;NA;NA;NA;8;8;8;8;NA;8;8;8;Y;NA;NA;8;8;NA;8;NA;NA;8;NA;8;NA;NA;8;NA;NA;NA;NA;8;NA;8;NA;8;NA;8;NA;NA;8;b;NA;8;NA;NA;NA;8;NA;NA;8;8;8;NA;NA;NA;NA;8;NA;NA;NA;NA;8;NA;NA;NA;NA;8;Y;8;8;8;NA;NA;8;NA;NA;8;8;.;8;NA;8;8;8;NA;NA;NA;NA;8;8;NA;NA;NA;NA;NA;NA;8;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;8;NA
11;Non;NA;8;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;8;NA;NA;8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;NA;NA;NA;8;NA;NA;8;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;8;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;8;8;8;NA;NA;8;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;8;8;8;NA
4;Oui;NA;8;NA;8;8;NA;8;NA;8;8;8;NA;8;NA;NA;8;P;NA;b;8;8;NA;8;8;.;8;NA;NA;b;8;8;8;8;NA;NA;NA;8;NA;b;8;8;NA;NA;8;.;8;8;NA;NA;8;d;8;.;NA;8;NA;NA;8;8;d;8;8;8;8;.;d;d;NA;.;.;NA;NA;8;NA;8;NA;8;NA;NA;8;8;8;NA;8;d;NA;8;NA;8;NA;8;8;NA;8;b;NA;d;.;8;8;8;NA;8;NA;8;8;NA;NA;NA;NA;8;NA;.;NA;8;8;NA;8;NA;NA;.;d;NA;8;8;8;8;8;NA;8;.;b;NA;8;NA;8;8;8;NA;d;8;NA;8;8;8;NA;8;NA;NA;d;b;8;d;NA;8;NA;NA;NA;NA;P;NA;8;8;8;8;NA
10;Non;NA;8;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;8;NA;NA;8;b;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;NA;NA;NA;8;NA;NA;8;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;Y;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;8;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;8;8;8;NA;NA;8;NA;NA;8;NA;NA;NA;NA;NA;Y;NA;NA;NA;NA;NA;NA;NA;NA;NA;b;NA;NA;8;8;8;NA
5;Oui;8;P;NA;NA;K;NA;8;NA;NA;NA;NA;NA;8;NA;NA;8;NA;NA;Y;NA;NA;8;NA;NA;8;NA;d;NA;8;8;NA;NA;NA;NA;d;NA;NA;NA;NA;8;8;b;d;8;8;NA;8;NA;b;8;P;P;8;NA;NA;NA;NA;K;8;8;8;NA;8;8;8;8;8;NA;8;8;NA;b;NA;NA;8;NA;8;NA;NA;8;NA;NA;NA;NA;P;8;NA;8;NA;NA;8;NA;NA;8;NA;NA;P;8;NA;NA;8;NA;NA;b;NA;8;NA;NA;NA;NA;8;NA;8;NA;NA;NA;NA;NA;NA;NA;8;8;d;8;NA;NA;NA;8;NA;NA;8;8;NA;NA;NA;8;8;8;NA;P;NA;8;NA;8;NA;NA;NA;8;NA;8;Y;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;8;NA
3;Oui;NA;8;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;8;NA;NA;8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;NA;NA;NA;8;NA;NA;8;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;8;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;8;8;8;NA;NA;8;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;8;8;8;NA
